"Gene_Symbols","p_val","acrophase_AD","acrophase_CTL","amplitude_AD","amplitude_CTL","BHQ","Bonf","Log_AD_CTL_ampRatio"
"PER3",0.783735459005551,"1.21926671434635","1.11905588103543","21.865013303016","16.8944573514597",0.862109004906106,1,0.257902192513986
"NPAS2",0.48408435797589,"5.06915247381631","5.53921499520366","32.9580414768052","28.8457313336056",0.844912281461879,1,0.133273260762395
"NR1D2",0.200230449114626,"4.45976878701717","5.89859885255395","2.98955818048276","6.23598541139784",0.653938341592604,1,-0.735211001016819
"CLOCK",0.561035701439133,"0.0739690889417878","5.82365734487165","2.95628736700873","4.33833618052292",0.844912281461879,1,-0.383556692883526
"ARNTL",0.286717995088689,"5.31771713337081","5.52473106269945","13.8815384855825","9.01294300792372",0.653938341592604,1,0.431898134601861
"CRY2",0.884542230095936,"1.80523502507342","1.53298870591768","7.83177075739994","7.10478239788402",0.884542230095936,1,0.0974205003421836
"FBXL3",0.297244700723911,"3.73187116915082","3.65636714495139","4.45582630389446","1.66734688832517",0.653938341592604,1,0.982978848092725
"RORA",0.235430923209949,"5.74603500565844","6.16749184196495","607.003594330312","626.980761052331",0.653938341592604,1,-0.0323811435263816
"DBP",0.691291866650628,"2.24897229628484","2.1877623492404","3.79811529414169","4.6511592935468",0.844912281461879,1,-0.202611530496681
"CSNK1E",0.295592171155925,"5.49391926541497","0.81812249884285","0.288784588569803","4.34624791309027",0.653938341592604,1,-2.71138716124185
"TEF",0.650542134392994,"1.5740629067739","1.43944909517276","5.59085663448261","4.32735985132457",0.844912281461879,1,0.256174897574038
