NAME	ORIGINAL SIZE	AFTER RESTRICTING TO DATASET	STATUS	
KEGG_N_GLYCAN_BIOSYNTHESIS	46	24		
KEGG_OTHER_GLYCAN_DEGRADATION	16	6		
KEGG_O_GLYCAN_BIOSYNTHESIS	30	10		
KEGG_GLYCOSAMINOGLYCAN_DEGRADATION	21	7		
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_KERATAN_SULFATE	15	7		
KEGG_GLYCEROLIPID_METABOLISM	49	15		
KEGG_GLYCOSYLPHOSPHATIDYLINOSITOL_GPI_ANCHOR_BIOSYNTHESIS	25	10		
KEGG_GLYCEROPHOSPHOLIPID_METABOLISM	77	19		
KEGG_ETHER_LIPID_METABOLISM	33	10		
KEGG_ARACHIDONIC_ACID_METABOLISM	58	17		
KEGG_LINOLEIC_ACID_METABOLISM	29	7		
KEGG_ALPHA_LINOLENIC_ACID_METABOLISM	19		Rejected!	
KEGG_SPHINGOLIPID_METABOLISM	39	11		
KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_LACTO_AND_NEOLACTO_SERIES	26	14		
KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_GLOBO_SERIES	14	6		
KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_GANGLIO_SERIES	15	7		
KEGG_RIBOFLAVIN_METABOLISM	16	7		
KEGG_NICOTINATE_AND_NICOTINAMIDE_METABOLISM	24	8		
KEGG_PANTOTHENATE_AND_COA_BIOSYNTHESIS	16	8		
KEGG_AMINOACYL_TRNA_BIOSYNTHESIS	41	12		
KEGG_BASAL_TRANSCRIPTION_FACTORS	35	14		
KEGG_NON_HOMOLOGOUS_END_JOINING	13	5		
KEGG_SNARE_INTERACTIONS_IN_VESICULAR_TRANSPORT	38	18		
KEGG_LYSOSOME	121	51		
KEGG_CARDIAC_MUSCLE_CONTRACTION	79	35		
KEGG_RENIN_ANGIOTENSIN_SYSTEM	17		Rejected!	
KEGG_CIRCADIAN_RHYTHM_MAMMAL	13	5		
KEGG_TASTE_TRANSDUCTION	52	12		
KEGG_PROXIMAL_TUBULE_BICARBONATE_RECLAMATION	23	6		
KEGG_PATHOGENIC_ESCHERICHIA_COLI_INFECTION	56	23		
KEGG_SYSTEMIC_LUPUS_ERYTHEMATOSUS	139	15		
KEGG_PRIMARY_IMMUNODEFICIENCY	35	8		
KEGG_HYPERTROPHIC_CARDIOMYOPATHY_HCM	83	32		
KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC	74	28		
KEGG_DILATED_CARDIOMYOPATHY	90	35		
KEGG_GLYCOLYSIS_GLUCONEOGENESIS	62	25		
KEGG_CITRATE_CYCLE_TCA_CYCLE	31	10		
KEGG_PENTOSE_PHOSPHATE_PATHWAY	27	10		
KEGG_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS	28		Rejected!	
KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM	34	17		
KEGG_GALACTOSE_METABOLISM	26	10		
KEGG_ASCORBATE_AND_ALDARATE_METABOLISM	25		Rejected!	
KEGG_FATTY_ACID_METABOLISM	42	9		
KEGG_STEROID_BIOSYNTHESIS	17	11		
KEGG_PRIMARY_BILE_ACID_BIOSYNTHESIS	16	6		
KEGG_STEROID_HORMONE_BIOSYNTHESIS	55	11		
KEGG_OXIDATIVE_PHOSPHORYLATION	132	79		
KEGG_PURINE_METABOLISM	159	78		
KEGG_PYRIMIDINE_METABOLISM	98	53		
KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM	32	5		
KEGG_GLYCINE_SERINE_AND_THREONINE_METABOLISM	31	11		
KEGG_CYSTEINE_AND_METHIONINE_METABOLISM	34	13		
KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION	44	13		
KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_BIOSYNTHESIS	11		Rejected!	
KEGG_LYSINE_DEGRADATION	44	13		
KEGG_ARGININE_AND_PROLINE_METABOLISM	54	21		
KEGG_HISTIDINE_METABOLISM	29	6		
KEGG_TYROSINE_METABOLISM	42	13		
KEGG_PHENYLALANINE_METABOLISM	18	8		
KEGG_TRYPTOPHAN_METABOLISM	40	9		
KEGG_BETA_ALANINE_METABOLISM	22	8		
KEGG_TAURINE_AND_HYPOTAURINE_METABOLISM	10		Rejected!	
KEGG_SELENOAMINO_ACID_METABOLISM	26	9		
KEGG_GLUTATHIONE_METABOLISM	50	15		
KEGG_STARCH_AND_SUCROSE_METABOLISM	52	9		
KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM	44	17		
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_CHONDROITIN_SULFATE	22	11		
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_HEPARAN_SULFATE	26	13		
KEGG_INOSITOL_PHOSPHATE_METABOLISM	54	23		
KEGG_PYRUVATE_METABOLISM	40	19		
KEGG_GLYOXYLATE_AND_DICARBOXYLATE_METABOLISM	16		Rejected!	
KEGG_PROPANOATE_METABOLISM	33	12		
KEGG_BUTANOATE_METABOLISM	34	8		
KEGG_ONE_CARBON_POOL_BY_FOLATE	17		Rejected!	
KEGG_FOLATE_BIOSYNTHESIS	11		Rejected!	
KEGG_RETINOL_METABOLISM	64	16		
KEGG_PORPHYRIN_AND_CHLOROPHYLL_METABOLISM	41	7		
KEGG_TERPENOID_BACKBONE_BIOSYNTHESIS	15	5		
KEGG_LIMONENE_AND_PINENE_DEGRADATION	10		Rejected!	
KEGG_NITROGEN_METABOLISM	23	7		
KEGG_SULFUR_METABOLISM	13	6		
KEGG_METABOLISM_OF_XENOBIOTICS_BY_CYTOCHROME_P450	70	17		
KEGG_DRUG_METABOLISM_CYTOCHROME_P450	72	15		
KEGG_DRUG_METABOLISM_OTHER_ENZYMES	51	11		
KEGG_BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS	22	10		
KEGG_ABC_TRANSPORTERS	44	15		
KEGG_RIBOSOME	88	84		
KEGG_RNA_DEGRADATION	59	18		
KEGG_RNA_POLYMERASE	29	15		
KEGG_DNA_REPLICATION	36	23		
KEGG_SPLICEOSOME	127	56		
KEGG_PROTEASOME	46	21		
KEGG_PROTEIN_EXPORT	24	16		
KEGG_PPAR_SIGNALING_PATHWAY	69	24		
KEGG_BASE_EXCISION_REPAIR	35	18		
KEGG_NUCLEOTIDE_EXCISION_REPAIR	44	23		
KEGG_MISMATCH_REPAIR	23	9		
KEGG_HOMOLOGOUS_RECOMBINATION	28	12		
KEGG_MAPK_SIGNALING_PATHWAY	267	103		
KEGG_ERBB_SIGNALING_PATHWAY	87	33		
KEGG_CALCIUM_SIGNALING_PATHWAY	178	66		
KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION	265	42		
KEGG_CHEMOKINE_SIGNALING_PATHWAY	189	50		
KEGG_PHOSPHATIDYLINOSITOL_SIGNALING_SYSTEM	76	31		
KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION	272	75		
KEGG_CELL_CYCLE	125	51		
KEGG_OOCYTE_MEIOSIS	113	45		
KEGG_P53_SIGNALING_PATHWAY	68	29		
KEGG_UBIQUITIN_MEDIATED_PROTEOLYSIS	135	42		
KEGG_REGULATION_OF_AUTOPHAGY	35		Rejected!	
KEGG_ENDOCYTOSIS	181	77		
KEGG_PEROXISOME	78	27		
KEGG_MTOR_SIGNALING_PATHWAY	52	16		
KEGG_APOPTOSIS	87	31		
KEGG_VASCULAR_SMOOTH_MUSCLE_CONTRACTION	115	39		
KEGG_WNT_SIGNALING_PATHWAY	151	48		
KEGG_DORSO_VENTRAL_AXIS_FORMATION	24	11		
KEGG_NOTCH_SIGNALING_PATHWAY	47	14		
KEGG_HEDGEHOG_SIGNALING_PATHWAY	56	12		
KEGG_TGF_BETA_SIGNALING_PATHWAY	86	25		
KEGG_AXON_GUIDANCE	129	53		
KEGG_VEGF_SIGNALING_PATHWAY	76	26		
KEGG_FOCAL_ADHESION	199	71		
KEGG_ECM_RECEPTOR_INTERACTION	84	25		
KEGG_CELL_ADHESION_MOLECULES_CAMS	133	43		
KEGG_ADHERENS_JUNCTION	73	27		
KEGG_TIGHT_JUNCTION	132	44		
KEGG_GAP_JUNCTION	90	46		
KEGG_COMPLEMENT_AND_COAGULATION_CASCADES	69	14		
KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION	88	29		
KEGG_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY	102	27		
KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY	62	18		
KEGG_RIG_I_LIKE_RECEPTOR_SIGNALING_PATHWAY	71	24		
KEGG_CYTOSOLIC_DNA_SENSING_PATHWAY	55	13		
KEGG_JAK_STAT_SIGNALING_PATHWAY	155	30		
KEGG_HEMATOPOIETIC_CELL_LINEAGE	87	11		
KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY	137	30		
KEGG_T_CELL_RECEPTOR_SIGNALING_PATHWAY	108	33		
KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY	75	30		
KEGG_FC_EPSILON_RI_SIGNALING_PATHWAY	79	24		
KEGG_FC_GAMMA_R_MEDIATED_PHAGOCYTOSIS	96	38		
KEGG_LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION	116	31		
KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION	48	10		
KEGG_LONG_TERM_POTENTIATION	70	28		
KEGG_NEUROTROPHIN_SIGNALING_PATHWAY	126	51		
KEGG_LONG_TERM_DEPRESSION	70	29		
KEGG_OLFACTORY_TRANSDUCTION	388	19		
KEGG_REGULATION_OF_ACTIN_CYTOSKELETON	213	77		
KEGG_INSULIN_SIGNALING_PATHWAY	137	56		
KEGG_GNRH_SIGNALING_PATHWAY	101	33		
KEGG_PROGESTERONE_MEDIATED_OOCYTE_MATURATION	85	32		
KEGG_MELANOGENESIS	101	35		
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY	67	27		
KEGG_TYPE_II_DIABETES_MELLITUS	47	21		
KEGG_TYPE_I_DIABETES_MELLITUS	43	11		
KEGG_MATURITY_ONSET_DIABETES_OF_THE_YOUNG	25		Rejected!	
KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION	42	17		
KEGG_VASOPRESSIN_REGULATED_WATER_REABSORPTION	44	21		
KEGG_ALZHEIMERS_DISEASE	166	95		
KEGG_PARKINSONS_DISEASE	130	74		
KEGG_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS	53	21		
KEGG_HUNTINGTONS_DISEASE	182	103		
KEGG_PRION_DISEASES	35	14		
KEGG_VIBRIO_CHOLERAE_INFECTION	54	29		
KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION	68	25		
KEGG_LEISHMANIA_INFECTION	72	19		
KEGG_PATHWAYS_IN_CANCER	325	124		
KEGG_COLORECTAL_CANCER	62	27		
KEGG_RENAL_CELL_CARCINOMA	70	29		
KEGG_PANCREATIC_CANCER	70	33		
KEGG_ENDOMETRIAL_CANCER	52	23		
KEGG_GLIOMA	65	27		
KEGG_PROSTATE_CANCER	89	42		
KEGG_THYROID_CANCER	29	9		
KEGG_BASAL_CELL_CARCINOMA	55	16		
KEGG_MELANOMA	71	33		
KEGG_BLADDER_CANCER	42	18		
KEGG_CHRONIC_MYELOID_LEUKEMIA	73	34		
KEGG_ACUTE_MYELOID_LEUKEMIA	57	23		
KEGG_SMALL_CELL_LUNG_CANCER	84	32		
KEGG_NON_SMALL_CELL_LUNG_CANCER	54	24		
KEGG_ASTHMA	30		Rejected!	
KEGG_AUTOIMMUNE_THYROID_DISEASE	52	10		
KEGG_ALLOGRAFT_REJECTION	37	8		
KEGG_GRAFT_VERSUS_HOST_DISEASE	41	9		
KEGG_VIRAL_MYOCARDITIS	70	25		
